                        subject_context                                                         name operation                                 object_context  reference_result  medusa_result
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/blkzone      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/shutdown      read  system_u:object_r:systemd_systemctl_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                               /usr/sbin/vgck      read                system_u:object_r:lvm_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/kpartx      read                system_u:object_r:lvm_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /usr/sbin/ctrlaltdel      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/lchage      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                      /usr/sbin/blkdeactivate      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /usr/sbin/dmfilemapd      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/dmsetup      read                system_u:object_r:lvm_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/dmstats      read                system_u:object_r:lvm_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/lnewusers      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/telinit      read  system_u:object_r:systemd_systemctl_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/lgroupmod      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /usr/sbin/vgs      read                system_u:object_r:lvm_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                               /usr/sbin/create-cracklib-dict      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/poweroff      read  system_u:object_r:systemd_systemctl_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/service      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                             /usr/sbin/chroot      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                              /usr/sbin/chcpu      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /usr/sbin/restorecon_xattr      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/ifenslave      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/faillock      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                   /usr/sbin/pwhistory_helper      read             system_u:object_r:updpwd_exec_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/fsfreeze      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                            /usr/sbin/rtcwake      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                          /usr/sbin/swaplabel      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                                /usr/sbin/lid      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                         /usr/sbin/blkdiscard      read                     system_u:object_r:bin_t:s0                 1              0
system_u:system_r:sshd_t:s0-s0:c0.c1023                                           /usr/sbin/ldattach      read                     system_u:object_r:bin_t:s0                 1              0
